,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label,gender
10,lsmdc1005_Signs-5092,6073,Someone stares blearily down at the floor. Someone,Someone stares blearily down at the floor.,Someone,gold,shifts his amused gaze to someone's brow pinched uneasily.,takes the gun and leads his men upstairs into the kitchen.,looks up at someone in shock.,"takes the bag, revealing a sleek silver - diamond shot at someone's head.",2,2
11,lsmdc1005_Signs-5092,6071,"A little way beyond is someone's Ford pickup truck smashed into the tree, stretched into any of the front and a couple of paramedics standing by. They","A little way beyond is someone's Ford pickup truck smashed into the tree, stretched into any of the front and a couple of paramedics standing by.",They,gold,"wakes with a start, driving along the road, in the other direction.",rush for the unconscious mother.,holds the reins of the camel and running as the inspector runs towards them.,turned to look at someone as he approaches.,3,2
12,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8105,They run back through the forest towards Hogwarts. People,They run back through the forest towards Hogwarts.,People,gold,"are huddled in the shack, pulling themselves.",escape from shadowfax barn gates.,"run behind them, side by side.",run to meet them.,3,2
13,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8104,Someone tries to release it. Someone,Someone tries to release it.,Someone,gold,is flying a flag high in the air.,is lifted into the air by someone.,wraps the paper around a package which inspects him.,steps out from behind her white inquiring bag.,1,2
14,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8104,Someone tries to release it. Someone,Someone tries to release it.,Someone,gen,wraps the paper around a package which inspects him.,"goes out of the room and into the bedroom, her face covered with rage.",steps out from behind her white inquiring bag.,is flying a flag high in the air.,1,2
15,lsmdc1007_Spider-Man1-74947,16229,Now it's someone's turn to rain blades on his opponent. Someone,Now it's someone's turn to rain blades on his opponent.,Someone,gold,pats his shoulder and spins wildly.,lunges forward through the window.,falls to the ground.,rolls up his fast run from the water and tosses in the sky.,2,2
16,lsmdc1007_Spider-Man1-74947,16219,Someone flips up and punches him again. Someone,Someone flips up and punches him again.,Someone,gen,pauses in his tracks.,"stands perfectly still, grasping for the door.","looks down off the water, his eyes wide in horror.",yanks the brunette up from her shirt and puts it across the back of her shirt.,0,2
17,lsmdc1007_Spider-Man1-74947,16213,Someone looks up at her hero and sees someone closing in again. Someone,Someone looks up at her hero and sees someone closing in again.,Someone,gen,offers his wand to find the entirely under world most obvious.,"leans back to her surroundings, his eyes rimmed with tears.",gathers her belongings in a suitcase and walks out into the next room.,lights his walking stick as he aims his pistol at someone's wand.,1,2
18,lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,Someone stopped it in front of his face.,He,gen,takes a leap and grabs it grimly.,pretends to put on his helmet's star cap.,begins to cry as someone howls to the beat.,is getting back on with sharp at his back wall.,0,0
19,lsmdc1007_Spider-Man1-74947,16222,"He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot",He crashes into a brick wall and collapses on the ground.,"He raises his wrist, but someone's boot",gold,spins out of his grasp.,comes down on it.,flies from his grasp.,is hurled to the surface.,1,0
20,lsmdc1007_Spider-Man1-74947,16230,Someone falls to the ground. Someone,Someone falls to the ground.,Someone,gold,"hikes up, but this leads to the chaos of the carriage.","removes the hard mask with jutting jaw, revealing someone.",remains still imprisoned in the new witches lair.,wears two ropes on his ax.,1,2
21,lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",Someone glides in for the kill as someone is lowering the cable car towards the barge.,"A blade shoots out, but someone",gen,braces himself down against the stone and presses the empty area with his teeth.,sends the sharp charge to the ground.,manages to grab the chain around it.,hurriedly opens it and nearly loops it through.,2,2
22,lsmdc1007_Spider-Man1-74947,16215,Someone crashes through the wall of an old ruin. He,Someone crashes through the wall of an old ruin.,He,gen,"reaches over to the door, shuts it and turns the lock.","snaps his stick close to one side, scrambling against a guardrail.","flings it around the waist deck, then shot another into the mountain below.",dunks out someone.,0,0
23,lsmdc1007_Spider-Man1-74947,16210,"Knocked off balance, someone is kicked away by someone. The crowd on the bridge","Knocked off balance, someone is kicked away by someone.",The crowd on the bridge,gen,closes windows behind him.,rises 20 feet away.,looks up at him.,stops the little boy inside.,2,2
24,lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,Someone throws a line around someone's waist and pulls him away behind the glider.,Someone,gen,drops his head and lands in a heap.,"climbs to a railing, overlooking the reservoir.",kicks from the pyre.,is standing in a stable and two people in uniform shimmies fencing.,0,2
25,lsmdc1007_Spider-Man1-74947,16226,Webs wrap around someone's ankles and someone yanks him down. Two more webs,Webs wrap around someone's ankles and someone yanks him down.,Two more webs,gold,pull a wall down on top of him.,disappear from behind the tree.,pick the bomb from its accord.,appear before him at the bottom of asgard.,0,2
26,lsmdc1007_Spider-Man1-74947,16207,Someone slips off it but clasps hold of the rail running around the cable car roof. Someone,Someone slips off it but clasps hold of the rail running around the cable car roof.,Someone,gold,glides in for the kill as someone is lowering the cable car towards the barge.,escapes down a hallway as someone vacuums the basement hallway.,posted a few yards from the gate.,drops through to the bite of the opposing pillar.,0,2
27,lsmdc1007_Spider-Man1-74947,16227,"From beneath the pile of rubble, a hand appears. He","From beneath the pile of rubble, a hand appears.",He,gold,picks it up and puts it in his hands.,hauls himself unsteadily to his feet.,makes the fire.,struggles to pull off the tool.,1,0
28,lsmdc1007_Spider-Man1-74947,16228,Someone drags the villain through a trellis and smashes him against another wall. Now it,Someone drags the villain through a trellis and smashes him against another wall.,Now it,gold,soars straight above someone.,'s someone's son.,'s someone's turn to rain blades on his opponent.,'s a male cafe house with candles in the middle of the room.,2,2
29,lsmdc1007_Spider-Man1-74947,16216,He shoots out a web to steady himself. He,He shoots out a web to steady himself.,He,gold,wheels behind his back as the troll sprays to the top of the tower.,smashes through a pane of glass.,gets up and walks away.,crashes through bar then plunges into a puddle.,1,0
30,lsmdc1007_Spider-Man1-74947,16221,A kick to the head and a drop kick to the chest sends someone reeling. He,A kick to the head and a drop kick to the chest sends someone reeling.,He,gold,shifts his gaze to the sky.,crashes into a brick wall and collapses on the ground.,takes a tumble off her chair then looks at her.,takes someone's wand and slams the door to the floor.,1,0
31,lsmdc1007_Spider-Man1-74947,16230,Someone falls to the ground. Someone,Someone falls to the ground.,Someone,gen,"hikes up, but this leads to the chaos of the carriage.",remains still imprisoned in the new witches lair.,grabs him and punches him on the shoulder.,wears two ropes on his ax.,2,2
32,lsmdc1007_Spider-Man1-74947,16212,"The cable car lands safely on the barge, someone still clinging to it. Someone","The cable car lands safely on the barge, someone still clinging to it.",Someone,gold,looks up at her hero and sees someone closing in again.,descending it dives from under it.,races back place wearing their own clothes.,sits and flexes his parallel defensively.,0,2
33,lsmdc1007_Spider-Man1-74947,16218,A punch sends someone high into the air and he lands heavily. Someone,A punch sends someone high into the air and he lands heavily.,Someone,gold,"hurries to the controls, tosses the plane down into the sarcophagus.",backs a polished arm around someone.,"squints as he gulps, then looks down at his list.",flips up and punches him again.,3,2
34,lsmdc1007_Spider-Man1-74947,16223,Someone's eyes flare and he grits his teeth. Someone,Someone's eyes flare and he grits his teeth.,Someone,gold,lunges at someone with a multi - bladed spear.,sniffs someone's wound with a wand.,uncomfortably sweeps a revolver in half.,yields a delighted smile.,0,2
35,lsmdc1007_Spider-Man1-74947,16224,Someone lunges at someone with a multi - bladed spear. Someone,Someone lunges at someone with a multi - bladed spear.,Someone,gold,stopped it in front of his face.,holds someone's hand to someone.,squeezes the neuralyzer out of his mouth.,backs into his arms.,0,2
36,lsmdc1007_Spider-Man1-74947,16217,The fireball throws someone backwards. He,The fireball throws someone backwards.,He,gold,is hurled backwards in russia.,punches his attacker and breaks into a meager wave.,"crouches into the fire and grabs it, stabbing someone, then shoved into his stomach.",is thrust through a brick wall and lands on the ground.,3,0
37,lsmdc1007_Spider-Man1-74947,16220,"He builds a large web, which slows down the Green someone, but can't hold him. Someone","He builds a large web, which slows down the Green someone, but can't hold him.",Someone,gold,pushes the surfer down.,"goes on the attack, but is beaten back.",sits down from the column in the tower.,"glances down at someone, raising his weary back.",1,2
38,lsmdc1007_Spider-Man1-74947,16211,The crowd on the bridge continue to throw debris. The cable car,The crowd on the bridge continue to throw debris.,The cable car,gold,begins to scramble and lift speed across deck.,reverses as someone removes it.,is behind several houses to carry it before they clean out.,"lands safely on the barge, someone still clinging to it.",3,2
39,lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone","A blade shoots out, but someone is hit by debris.","Knocked off balance, someone",gold,cowers as the rocket studies her.,"shoots another trooper, then aims for more effort.",is kicked away by someone.,jumps again and forces his eyes upward.,2,2
40,lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone","A blade shoots out, but someone is hit by debris.","Knocked off balance, someone",gen,jumps again and forces his eyes upward.,crawls away and catches his ankle.,cowers as the rocket studies her.,"shoots another trooper, then aims for more effort.",1,2
41,lsmdc1007_Spider-Man1-74947,16215,Someone crashes through the wall of an old ruin. He,Someone crashes through the wall of an old ruin.,He,gold,"crosses the iron across his head, throws it on the floor as the train stomps on him.",dunks out someone.,"snaps his stick close to one side, scrambling against a guardrail.",shoots out a web to steady himself.,3,0
42,lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,Someone throws a line around someone's waist and pulls him away behind the glider.,Someone,gen,"climbs to a railing, overlooking the reservoir.",is open into a web.,stands among the masked men.,is standing in a stable and two people in uniform shimmies fencing.,0,2
43,lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,Someone throws a line around someone's waist and pulls him away behind the glider.,Someone,gold,is standing in a stable and two people in uniform shimmies fencing.,crashes through the wall of an old ruin.,stands among the masked men.,is open into a web.,1,2
44,lsmdc1007_Spider-Man1-74947,16206,"Like a gymnast on rings, someone's arms are stretched wide, one attached to the web supporting them all, the hand of the other still grasping the cable tightly. Another punch","Like a gymnast on rings, someone's arms are stretched wide, one attached to the web supporting them all, the hand of the other still grasping the cable tightly.",Another punch,gold,"strikes the giant, but someone struggles to roll someone over.",rips the forehead from it's hand and the rest of the main pool continues to fall.,sends someone reeling and knocks the cable from his grasp.,knocks a couple of bricks open with a mortar and turn off onto the main collapse.,2,2
45,lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,Someone stopped it in front of his face.,He,gen,sees someone's silver car in the opposite side of the window.,is getting back on with sharp at his back wall.,pretends to put on his helmet's star cap.,begins to cry as someone howls to the beat.,0,0
46,lsmdc1007_Spider-Man1-74947,16219,Someone flips up and punches him again. Someone,Someone flips up and punches him again.,Someone,gen,cheer them around while the two pop gould cards and move their body into an doorway.,"looks down off the water, his eyes wide in horror.",yanks the brunette up from her shirt and puts it across the back of her shirt.,"pushes him onto the ground, sending him into the sand.",3,2
47,lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,Someone stopped it in front of his face.,He,gold,pretends to put on his helmet's star cap.,"pushes it back, then hurls someone across the ruin.",begins to cry as someone howls to the beat.,is getting back on with sharp at his back wall.,1,0
48,lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",Someone glides in for the kill as someone is lowering the cable car towards the barge.,"A blade shoots out, but someone",gen,hurriedly opens it and nearly loops it through.,sends the sharp charge to the ground.,braces himself down against the stone and presses the empty area with his teeth.,does not reach him.,3,2
49,lsmdc1007_Spider-Man1-74947,16210,"Knocked off balance, someone is kicked away by someone. The crowd on the bridge","Knocked off balance, someone is kicked away by someone.",The crowd on the bridge,gold,continue to throw debris.,rises 20 feet away.,"reaches their splits up the stairs, followed by someone.",is n't move.,0,2
50,lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",Someone glides in for the kill as someone is lowering the cable car towards the barge.,"A blade shoots out, but someone",gold,hurriedly opens it and nearly loops it through.,is hit by debris.,braces himself down against the stone and presses the empty area with his teeth.,sends the sharp charge to the ground.,1,2
51,anetv_v1hQ0vf66QY,2144,A countdown of text is shown that leads into clips of sumo wrestlers performing impressive throws. The video,A countdown of text is shown that leads into clips of sumo wrestlers performing impressive throws.,The video,gold,shows the man speaking to the camera and both performing hitting a tennis ball.,ends with a man throwing the purse to someone and others cheering on the sidelines around the screen.,continues and the video ends with text shown of the judges swinging up and down.,continues counting down as more shots are shown of sumo wrestlers fighting one another and people watching on the side.,3,2
52,anetv_F3iZD7tm8Io,4871,Then another woman comes up and she is wearing black shorts and a shirt. She flies onto the blue mat and other people,Then another woman comes up and she is wearing black shorts and a shirt.,She flies onto the blue mat and other people,gold,watch as she does her trick.,kick the rope around their leg.,are at one end of the mat.,do several flips and ties as the black sweatshirt jumps in the sand clouds.,0,1
53,anetv_F3iZD7tm8Io,9477,"Her action is then repeated, but in slow motion once again. Another women in a purple top makes the same jump and again, her action","Her action is then repeated, but in slow motion once again.","Another women in a purple top makes the same jump and again, her action",gold,is repeated on a number again and pins.,hits the mat twice.,lies on the grill with anger and pain in her body itself.,"is shown again, but in slow motion.",3,1
54,anetv_F3iZD7tm8Io,4870,This woman is wearing a purple sports bra and blue panties as she runs and goes flying onto the beam. Then another woman comes up and she,This woman is wearing a purple sports bra and blue panties as she runs and goes flying onto the beam.,Then another woman comes up and she,gold,is wearing black shorts and a shirt.,picks them up without paying any attention.,is seen running down the land.,begins bungee jumping while jumping down.,0,1
55,anetv_F3iZD7tm8Io,9476,Another young athlete then makes the same jump. Her action,Another young athlete then makes the same jump.,Her action,gen,is replayed of replays facing the races.,moves in slow motion.,is then shown again again in slow motion.,shows a replay of the performance of the outro.,2,1
56,anetv_F3iZD7tm8Io,9473,A young woman is standing at the foot of a pole vault track. She,A young woman is standing at the foot of a pole vault track.,She,gold,takes off and runs very fast towards it and makes it over the beam with relative ease.,swings back and fourth while his mom is shown steering the cars.,"swings the ball against the pole, and it lands on the ground.",flips off between jump ropes and balances before the balance bars.,0,1
57,anetv_F3iZD7tm8Io,9474,She takes off and runs very fast towards it and makes it over the beam with relative ease. She,She takes off and runs very fast towards it and makes it over the beam with relative ease.,She,gold,climbs down the rock as she goes.,misses the jump and he jumps into her other arms.,is then shown doing the same action in slow motion.,hobbles around a few times and her back at the camera.,2,1
58,anetv_F3iZD7tm8Io,9475,She is then shown doing the same action in slow motion. Another young athlete then,She is then shown doing the same action in slow motion.,Another young athlete then,gold,has a website in her eyes.,makes the same jump.,stands behind her watching the game.,is shown walking and twirling herself on a gym hoop while judges.,1,2
59,anetv_F3iZD7tm8Io,9475,She is then shown doing the same action in slow motion. Another young athlete then,She is then shown doing the same action in slow motion.,Another young athlete then,gen,is shown walking and twirling herself on a gym hoop while judges.,has a website in her eyes.,stands behind her watching the game.,appears in front of the camera.,3,2
60,anetv_F3iZD7tm8Io,9476,Another young athlete then makes the same jump. Her action,Another young athlete then makes the same jump.,Her action,gold,moves in slow motion.,shows a replay of the performance of the outro.,"is then repeated, but in slow motion once again.",is shown in slow motion.,2,1
61,lsmdc0001_American_Beauty-45932,14579,The Mercedes turns onto Robin Hood Trail. We,The Mercedes turns onto Robin Hood Trail.,We,gen,feigns disappearing hurriedly pulls out.,stop as someone draws beside someone and lands in the limo's trunk.,"the ladies' canoe away, the rider drags on its hood, bringing it down.","someone and someone push one suv down a hill, leaving a man turn over to the traffic.",3,2
62,lsmdc0001_American_Beauty-45932,14580,We turn into the Burnham driveway. A 1970 pontiac firebird with racing stripes,We turn into the Burnham driveway.,A 1970 pontiac firebird with racing stripes,gold,pulls up to a green shiny driveway with a rolled up glow in it.,is cut into its backs.,blocks our access to the garage.,stands on the curb as the white ford explorer pulls a four - inch horse into a curb inside.,2,2
63,lsmdc0001_American_Beauty-45932,14579,The Mercedes turns onto Robin Hood Trail. We,The Mercedes turns onto Robin Hood Trail.,We,gold,"the ladies' canoe away, the rider drags on its hood, bringing it down.",turn into the burnham driveway.,feigns disappearing hurriedly pulls out.,stop as someone draws beside someone and lands in the limo's trunk.,1,2
64,lsmdc0001_American_Beauty-45932,14582,"Someone is sprawled on the couch in his underwear, drinking a beer and controlling the car. Someone's remote - controlled model jeep","Someone is sprawled on the couch in his underwear, drinking a beer and controlling the car.",Someone's remote - controlled model jeep,gold,"is zooming across the floor of the family room, expertly maneuvering corners and narrowly avoiding crashing.",is piled high with someone.,sits on a dune.,pulls into parking lot and drives beside him.,0,2
65,lsmdc0001_American_Beauty-45932,14581,"The room, too, seems changed: sloppier, more lived in. Someone","The room, too, seems changed: sloppier, more lived in.",Someone,gold,"continues to react, swirling, low - sniffing - - all of the sports really loud.","is sprawled on the couch in his underwear, drinking a beer and controlling the car.","is stopped, startling a masked woman with clubs.",pulls up a little and goes to help to someone up.,1,2
66,anetv_WrFNI5GQFPM,15978,The woman braids the other's hair all around and pins it up behind her. The woman,The woman braids the other's hair all around and pins it up behind her.,The woman,gold,finishes shaving the ball and stands up at the end before putting her glasses up.,shows off the blow and shows a more match while looking at the camera.,continue pinning and curling her hair and shows it off in the end.,is then shown putting lenses to her ears and tightening the contact lens.,2,1
67,anetv_WrFNI5GQFPM,17888,The woman is seated facing the camera while another woman styles her hair. The woman,The woman is seated facing the camera while another woman styles her hair.,The woman,gen,"in purple is wearing a blue dress and blue headband, using the pits to style her hair.",begins to cut the hair with her hair then serves it and begins brushing her hair and styling it.,talks to the camera.,puts some right braids on his.,2,1
68,anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,A woman's hair is shown from the back.,The woman,gen,continues showing various hair products at camera afterwards.,starts blow drying the hair.,looks like the woman with knit eyes.,bends down several times.,1,1
69,anetv_WrFNI5GQFPM,17888,The woman is seated facing the camera while another woman styles her hair. The woman,The woman is seated facing the camera while another woman styles her hair.,The woman,gold,"in purple is wearing a blue dress and blue headband, using the pits to style her hair.",begins to cut the hair with her hair then serves it and begins brushing her hair and styling it.,puts some right braids on his.,continues to have her hair styled while turned away from the camera.,3,1
70,anetv_WrFNI5GQFPM,17889,The woman continues to have her hair styled while turned away from the camera. The woman,The woman continues to have her hair styled while turned away from the camera.,The woman,gold,buries her face in the bed and does several moves and various diagonally back and forth.,spins slowly in front of the camera showing the completed hairstyle.,moves pretty her hair in the grass and uses more curlers to wrap up her curls.,"continues to speak, grouped the others.",1,1
71,anetv_WrFNI5GQFPM,15977,A woman's hair is seen followed by another woman styling her hair. The woman,A woman's hair is seen followed by another woman styling her hair.,The woman,gen,ties the hair into sections while still speaking to the camera.,cleans the girl's hair and leads into her piercing its ears.,styles her hair and ends by walking around and speaking to the camera.,begins brushing her hair as well as comb off her outfit.,2,1
72,anetv_WrFNI5GQFPM,15977,A woman's hair is seen followed by another woman styling her hair. The woman,A woman's hair is seen followed by another woman styling her hair.,The woman,gold,cleans the girl's hair and leads into her piercing its ears.,begins brushing her hair as well as comb off her outfit.,ties the hair into sections while still speaking to the camera.,braids the other's hair all around and pins it up behind her.,3,1
73,anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,A woman's hair is shown from the back.,The woman,gen,bends down several times.,continues drying the man's hair.,continues showing various hair products at camera afterwards.,continuously throws a tire down to show a pad.,2,1
74,anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,A woman's hair is shown from the back.,The woman,gold,continues drying the man's hair.,bends down several times.,continuously throws a tire down to show a pad.,is seated facing the camera while another woman styles her hair.,3,1
75,lsmdc3017_CHRONICLE-7331,7171,Someone stands observantly by as the older man rolls on to his stomach. His feet,Someone stands observantly by as the older man rolls on to his stomach.,His feet,gold,sticking out the tray with just his rear muscles.,swing out from under the twisted wall.,lose themselves in the slope.,upset some piled newspapers.,3,0
76,lsmdc3017_CHRONICLE-7331,7169,"He pounces on the boy. He pulls the boy to his feet, but someone",He pounces on the boy.,"He pulls the boy to his feet, but someone",gen,tosses it over one.,is in cold.,scrambles up defiantly around the car.,"grabs him in a leader with the arm, drinking up the injection and into the growing mass.",0,0
77,lsmdc3017_CHRONICLE-7331,7173,The view swings to someone who dabs his bloody nose. He playfully,The view swings to someone who dabs his bloody nose.,He playfully,gold,twists its someone's claws.,does a vault on a wall.,dodges her broom around a corner.,reaches for her camera.,3,0
78,lsmdc3017_CHRONICLE-7331,7170,"He pulls the boy to his feet, but someone forces him up against the wall. Someone","He pulls the boy to his feet, but someone forces him up against the wall.",Someone,gold,crashes beneath the bridge.,throws his father several feet.,"holds onto the wall, trying to hide him from it.",takes the barrel of a gun gun and falls toward him.,1,2
79,lsmdc3017_CHRONICLE-7331,7170,"He pulls the boy to his feet, but someone forces him up against the wall. Someone","He pulls the boy to his feet, but someone forces him up against the wall.",Someone,gen,"holds onto the wall, trying to hide him from it.",takes the barrel of a gun gun and falls toward him.,"pushes someone to the ground, and goes to his gate.",crashes beneath the bridge.,2,2
80,lsmdc3017_CHRONICLE-7331,7168,His father overturns a table between them and slaps someone down. He,His father overturns a table between them and slaps someone down.,He,gold,grabs a letter and hands it to someone.,rolls to a stop by the door.,opens the fridge and follows her into the kitchen.,pounces on the boy.,3,0
81,lsmdc3017_CHRONICLE-7331,7173,The view swings to someone who dabs his bloody nose. He playfully,The view swings to someone who dabs his bloody nose.,He playfully,gen,punches someone in the throat.,dodges her broom around a corner.,twists its someone's claws.,does a vault on a wall.,0,0
82,lsmdc3017_CHRONICLE-7331,7172,"As the retired firefighter catches his breath lying face down, someone remains standing. His shoulders","As the retired firefighter catches his breath lying face down, someone remains standing.",His shoulders,gold,heave as he catches his own breath.,sag as he watches the car through an archway.,tremble as he struggles to the transport.,heave one at his time before he drops a switch and move out of the building by the street.,0,0
83,anetv_u3XYsINR-y4,11598,One plays a violin while the others plays the piano. The two,One plays a violin while the others plays the piano.,The two,gen,clap his hands over the instrument as the others speak into the microphone.,continues moving along the set.,teams interact and continue to disperse and joins their other blanches.,continue playing with the watch.,0,2
84,anetv_u3XYsINR-y4,11597,Two women are seen playing different instruments in different frames. One,Two women are seen playing different instruments in different frames.,One,gold,turns around the bit and performs several cartwheels.,player kicks the ball and begins to play again.,plays a violin while the others plays the piano.,dance all filled with people in the background.,2,2
85,anetv_u3XYsINR-y4,11598,One plays a violin while the others plays the piano. The two,One plays a violin while the others plays the piano.,The two,gold,play a song together themselves and sings.,continue to play together in separate frames.,teams interact and continue to disperse and joins their other blanches.,continue playing with the watch.,1,2
86,anetv_u3XYsINR-y4,11598,One plays a violin while the others plays the piano. The two,One plays a violin while the others plays the piano.,The two,gen,continue playing with the watch.,teams interact and continue to disperse and joins their other blanches.,play a song together themselves and sings.,continues moving along the set.,3,2
87,anetv_u3XYsINR-y4,18251,"A woman plays a violin while another plays a piano, both wearing overalls. They","A woman plays a violin while another plays a piano, both wearing overalls.",They,gen,"and people are sitting on the floor playing, a band stands watching them.",pause before the door.,continue playing while the woman walks into frame and finishes her song.,do jumps to perform a guitar seat.,2,2
88,anetv_YizcSEo0bTo,16304,They are all riding bumper cars around a track. They,They are all riding bumper cars around a track.,They,gold,kick the ball over and over again.,"fly bikes through trees, track, and then gallop into the area.",bump and slam into each other.,are skating around and bumping into each other.,2,2
89,anetv_YizcSEo0bTo,16303,A group of kids are inside a building. They,A group of kids are inside a building.,They,gold,are working out on the side of the slide.,are twirling drums in their hands.,are all riding bumper cars around a track.,are moving back and forth in the grass.,2,2
90,anetv_nEOpfvJ7g_g,6067,They hit a ball against the wall multiple times. They,They hit a ball against the wall multiple times.,They,gold,throw the white ball against the wall to do it.,spin to face each other.,are engaged in a game of racquetball.,play hockey against each other.,2,2
91,anetv_nEOpfvJ7g_g,17716,The man in the front continues bouncing the ball up and down before finally hitting it against the wall. Both males,The man in the front continues bouncing the ball up and down before finally hitting it against the wall.,Both males,gold,are shown waving his arms across indoors to grab one of some things.,are shown kicking the ball around with each other's claws as the coach walks off.,continue lifting the barbells over a chain fence as well as speaking to the camera.,go back and forth hitting the ball and filling in for each other as the game continues.,3,2
92,anetv_nEOpfvJ7g_g,17715,Two men dressed in white shirt and different bottoms are standing in a room with three walls and a hard wood floor. The man in the front,Two men dressed in white shirt and different bottoms are standing in a room with three walls and a hard wood floor.,The man in the front,gold,is showing how to do a run with a hockey bat in the bar.,gets up and shows how to do a tango routine on the stage between the two boys and her legs.,is performing jumping rope while other men continue on the rope.,continues bouncing the ball up and down before finally hitting it against the wall.,3,0
93,anetv_nEOpfvJ7g_g,6066,A man and woman are standing inside a court. They,A man and woman are standing inside a court.,They,gen,hula hoops for the hoops.,are engaged in a tug of war.,are engaged in a game of tennis.,are engaged in a game of ping pong.,2,2
94,anetv_nEOpfvJ7g_g,6066,A man and woman are standing inside a court. They,A man and woman are standing inside a court.,They,gold,hula hoops for the hoops.,hit a ball against the wall multiple times.,are engaged in a tug of war.,are playing a game of volleyball on a table.,1,2
95,lsmdc0006_Clerks-48839,15986,"Someone looks around, hyperventilating. Someone","Someone looks around, hyperventilating.",Someone,gen,pretends to be drinking coffee.,pours him a drink.,looks up and finds someone in a sunlit tower.,frowns at someone's smiled nod.,1,2
